   Compiling busel-burn v0.1.0 (/home/sehaxe/busel-ai/burn_migration)
warning: function `col_norm_fused` is never used
  --> src/cube/mod.rs:20:8
   |
20 | pub fn col_norm_fused<B: burn::tensor::backend::Backend, const D: usize>(
   |        ^^^^^^^^^^^^^^
   |
   = note: `#[warn(dead_code)]` (part of `#[warn(unused)]`) on by default

warning: `busel-burn` (bin "busel-burn") generated 1 warning
    Finished `release` profile [optimized] target(s) in 4m 09s
     Running `target/release/busel-burn vorobey --bs 256 --cs 256 --steps 2594 --clip 1.0`
[busel-burn] tui-full requires a terminal — running without TUI
[tr] step 1/2594 loss 10.8750000000 lr 0.0000232558
[tr] step 2/2594 loss 10.8750000000 lr 0.0000465116
[tr] step 3/2594 loss 10.8750000000 lr 0.0000697674
[tr] step 4/2594 loss 10.8750000000 lr 0.0000930233
[tr] step 5/2594 loss 10.8750000000 lr 0.0001162791
[tr] step 6/2594 loss 10.8750000000 lr 0.0001395349
[tr] step 7/2594 loss 10.8750000000 lr 0.0001627907
[tr] step 8/2594 loss 10.8750000000 lr 0.0001860465
[tr] step 9/2594 loss 10.8750000000 lr 0.0002093023
[tr] step 10/2594 loss 10.8750000000 lr 0.0002325581
[tr] step 11/2594 loss 10.8750000000 lr 0.0002558140
[tr] step 12/2594 loss 10.8750000000 lr 0.0002790698
[tr] step 13/2594 loss 10.8750000000 lr 0.0003023256
[tr] step 14/2594 loss 10.8750000000 lr 0.0003255814
[tr] step 15/2594 loss 10.8750000000 lr 0.0003488372
[tr] step 16/2594 loss 10.8750000000 lr 0.0003720930
[tr] step 17/2594 loss 10.8750000000 lr 0.0003953488
[tr] step 18/2594 loss 10.8750000000 lr 0.0004186047
[tr] step 19/2594 loss 10.8750000000 lr 0.0004418605
[tr] step 20/2594 loss 10.8750000000 lr 0.0004651163
[tr] step 21/2594 loss 10.8750000000 lr 0.0004883721
[tr] step 22/2594 loss 10.8750000000 lr 0.0005116279
[tr] step 23/2594 loss 10.8750000000 lr 0.0005348837
[tr] step 24/2594 loss 10.8750000000 lr 0.0005581395
[tr] step 25/2594 loss 10.8750000000 lr 0.0005813953
[tr] step 26/2594 loss 10.8750000000 lr 0.0006046512
[tr] step 27/2594 loss 10.8750000000 lr 0.0006279070
[tr] step 28/2594 loss 10.8750000000 lr 0.0006511628
[tr] step 29/2594 loss 10.8125000000 lr 0.0006744186
[tr] step 30/2594 loss 10.8750000000 lr 0.0006976744
[tr] step 31/2594 loss 10.8750000000 lr 0.0007209302
[tr] step 32/2594 loss 10.8750000000 lr 0.0007441860
[tr] step 33/2594 loss 10.8750000000 lr 0.0007674419
[tr] step 34/2594 loss 10.8750000000 lr 0.0007906977
[tr] step 35/2594 loss 10.8750000000 lr 0.0008139535
[tr] step 36/2594 loss 10.8750000000 lr 0.0008372093
[tr] step 37/2594 loss 10.8750000000 lr 0.0008604651
[tr] step 38/2594 loss 10.8125000000 lr 0.0008837209
[tr] step 39/2594 loss 10.8125000000 lr 0.0009069767
[tr] step 40/2594 loss 10.8750000000 lr 0.0009302326
[tr] step 41/2594 loss 10.8125000000 lr 0.0009534884
[tr] step 42/2594 loss 10.8125000000 lr 0.0009767442
[tr] step 43/2594 loss 10.8125000000 lr 0.0010000000
[tr] step 44/2594 loss 10.8125000000 lr 0.0010232558
[tr] step 45/2594 loss 10.8125000000 lr 0.0010465116
[tr] step 46/2594 loss 10.8125000000 lr 0.0010697674
[tr] step 47/2594 loss 10.8750000000 lr 0.0010930233
[tr] step 48/2594 loss 10.8125000000 lr 0.0011162791
[tr] step 49/2594 loss 10.8125000000 lr 0.0011395349
[tr] step 50/2594 loss 10.6875000000 lr 0.0011627907
[tr] step 51/2594 loss 10.6875000000 lr 0.0011860465
[tr] step 52/2594 loss 10.6875000000 lr 0.0012093023
[tr] step 53/2594 loss 10.6250000000 lr 0.0012325581
[tr] step 54/2594 loss 10.6875000000 lr 0.0012558140
[tr] step 55/2594 loss 10.5625000000 lr 0.0012790698
[tr] step 56/2594 loss 10.6250000000 lr 0.0013023256
[tr] step 57/2594 loss 10.6250000000 lr 0.0013255814
[tr] step 58/2594 loss 10.5625000000 lr 0.0013488372
[tr] step 59/2594 loss 10.5625000000 lr 0.0013720930
[tr] step 60/2594 loss 10.5000000000 lr 0.0013953488
[tr] step 61/2594 loss 10.5625000000 lr 0.0014186047
[tr] step 62/2594 loss 10.5625000000 lr 0.0014418605
[tr] step 63/2594 loss 10.5000000000 lr 0.0014651163
[tr] step 64/2594 loss 10.5000000000 lr 0.0014883721
[tr] step 65/2594 loss 10.4375000000 lr 0.0015116279
[tr] step 66/2594 loss 10.6875000000 lr 0.0015348837
[tr] step 67/2594 loss 10.4375000000 lr 0.0015581395
[tr] step 68/2594 loss 10.5625000000 lr 0.0015813953
[tr] step 69/2594 loss 10.6875000000 lr 0.0016046512
[tr] step 70/2594 loss 10.4375000000 lr 0.0016279070
[tr] step 71/2594 loss 10.6875000000 lr 0.0016511628
